"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Transglutaminase"	49.1105944439912	-0.201098689852308	0.046302834486899	-4.34311834428209	1.40474412379361e-05	3.9727919751038e-05
"4E-BP1"	32.4518590611893	-0.341279476152304	0.0791707138885072	-4.31067827218173	1.62754556965554e-05	4.53208843242543e-05
"Chk1"	36.9720092006047	-0.349528756021692	0.0821705700059975	-4.25369759509007	2.10269222661231e-05	5.7664741366186e-05
"MYH11"	33.5660616056867	-0.395696940744046	0.0936191688206367	-4.22666581778946	2.37179507828818e-05	6.40738670403226e-05
"FoxM1"	34.1088926475948	-0.295379203298081	0.0702686997997894	-4.20356722323992	2.62741073100577e-05	6.99354915164772e-05
"Bcl-2"	35.9682252810986	-0.351661500094702	0.0845079093132934	-4.16128505547332	3.16461772214292e-05	8.30138851750533e-05
"C-Raf_pS338"	45.5347975242791	-0.308158194413311	0.0754607454360513	-4.08368871302044	4.43264004485714e-05	0.000114615406874163
"Gab2"	56.4007075288411	-0.201165435394719	0.0495083257431859	-4.06326476153169	4.8391087961993e-05	0.000123363196072123
"BRCA2"	44.3000760742279	-0.26780962575963	0.0659907075557714	-4.05829298819525	4.94327253944399e-05	0.000124268379116578
"CDK1"	18.2765794812711	0.306706488684791	0.078474460265516	3.90836060097845	9.2924538903807e-05	0.000227288399210663
"HER3"	15.6457562930823	-0.437474161889461	0.111891918975547	-3.90979228790479	9.23755190971706e-05	0.000227288399210663
"FOXO3a"	31.761973112009	-0.33551957018302	0.0869650291030357	-3.85809760134155	0.000114273017155158	0.000275778881401114
"AMPK_alpha"	39.9680448924644	0.239980478308919	0.0626782762210033	3.82876640485053	0.000128787172869059	0.000298852285760252
"PRDX1"	31.0098783376273	0.337805695865813	0.0881645705875346	3.83153565672303	0.000127345913869841	0.000298852285760252
"Smad1"	38.9826562664891	0.232963331936612	0.060839743647088	3.82913072888601	0.000128596685837388	0.000298852285760252
"CD49b"	35.61553225751	0.313397764310253	0.0823648558776684	3.80499378006226	0.000141807754147665	0.000324901310135789
"14-3-3_beta"	27.9565486547744	-0.376029457661477	0.103505289266504	-3.63294919830889	0.000280200200540167	0.000618490686558173
"Src"	45.3602011902447	-0.247686023345916	0.0681339795278306	-3.63527897625214	0.000277679978403625	0.000618490686558173
"YAP_pS127"	35.28148729497	0.269525110372553	0.0741783924923943	3.63347197636007	0.000279632830637325	0.000618490686558173
"Claudin-7"	42.4706642575823	-0.315199595161724	0.0885779171117046	-3.55844442316508	0.000373057705948836	0.000813535479237823
"Cyclin_E2"	26.8376380170196	-0.321854658243164	0.0911339533965915	-3.53166571017209	0.000412951033544769	0.000889811155614324
"FOXO3a_pS318_S321"	39.456042372861	-0.206715921901071	0.0604185785473705	-3.42139664439471	0.000623003995173471	0.0013112060828651
"p27_pT157"	24.199507007427	-0.320751365043633	0.0937344083676808	-3.42191699536268	0.000621812934069319	0.0013112060828651
"XRCC1"	43.4691305632098	-0.197825903640631	0.0580453787466153	-3.40812495175883	0.000654109347441276	0.00136084818260771
"PDK1"	51.5112865023878	-0.247958544417789	0.0734583687658975	-3.37549755846065	0.000736823458438641	0.00151551188610675
"Chk2_pT68"	31.3221845707973	-0.260960935755584	0.0796216028874876	-3.27751422091245	0.00104725455075543	0.00210864471079131
"Rab11"	20.7210049330739	-0.332189993782942	0.101364605325305	-3.27717937357779	0.00104849737000673	0.00210864471079131
"p70S6K_pT389"	44.7785580735601	-0.317070938572993	0.0976185598726258	-3.24805998968548	0.00116194769935423	0.00231112674267159
